OMNIWeb Plus Browser Results

Listing for omni2 data from 20200101 to 20221231
Selected parameters:
 1 Scalar B, nT
 2 BZ, nT (GSM)
 3 SW Proton Density, N/cm^3
 4 SW Plasma Speed, km/s

YEAR DOY HR    1     2     3     4 
2020  16 13   3.4  -1.1   2.7  374.
2020  16 14   3.7  -2.0   2.4  362.
2020  16 15   2.5  -0.4   4.1  355.
2020  16 16   2.6  -1.9   5.3  356.
2020  16 17   2.2  -0.8   5.6  349.
2020  16 18   2.0  -0.3   5.5  351.
2020  16 19   3.5  -0.4   4.1  349.
2020  16 20   3.8   1.2   4.1  342.
2020  16 21   4.0   1.1   3.8  345.
2020  16 22   3.3   0.2   7.1  338.
2020  16 23   3.3   1.1   7.0  326.
2020  17  0   2.8   1.0   7.9  320.
2020  17  1   2.3   0.1   8.8  312.
2020  17  2   2.5   1.0   8.9  310.
2020  17  3   2.6   1.8   9.6  311.
2020  17  4   3.1   1.1   8.6  318.
2020  17  5   4.1   2.1   7.0  328.
2020  17  6   3.8   1.7   7.7  328.
2020  17  7   3.6   1.4   7.6  326.
2020  17  8   3.4   2.1   9.1  328.
2020  17  9   3.4   1.7   8.9  326.
2020  17 10   3.2   3.1   8.6  324.
2020  17 11   2.4   2.3   8.6  324.
2020  17 12   1.8  -0.3   9.6  324.
2020  17 13   1.9  -1.1  10.5  326.
2020  17 14   2.3  -1.5  11.2  328.
2020  17 15   3.4  -2.7  10.3  333.
2020  17 16   5.1  -2.0   7.8  334.
2020  17 17   5.8   0.5   7.3  331.
2020  17 18   5.2   3.1  10.5  332.
2020  17 19   3.5   2.8  12.7  333.
2020  17 20   2.5  -0.2  13.7  330.
2020  17 21   2.1  -0.6  14.0  324.
2020  17 22   1.8   0.9  14.0  323.
2020  17 23   2.5   1.0  12.0  321.
2020  18  0   2.1   1.2  14.1  328.
2020  18  1   2.6   2.5  14.5  330.
2020  18  2   4.4  -2.9  10.2  326.
2020  18  3   5.2  -0.3   9.2  322.
2020  18  4   3.9   1.6  10.1  323.
2020  18  5   3.0  -0.3  10.8  322.
2020  18  6   3.5  -1.9   9.4  332.
2020  18  7   3.4   0.5   9.2  331.
2020  18  8   4.1  -0.5   6.4  328.
2020  18  9   3.6   0.4   6.3  327.
2020  18 10   3.1  -0.9   6.8  338.
2020  18 11   2.7  -0.8   6.8  339.
2020  18 12   2.9  -1.0   7.6  341.
2020  18 13   2.2  -0.6   8.6  337.
2020  18 14   2.4  -0.8   9.2  335.
2020  18 15   2.8   0.5   9.1  334.
2020  18 16   2.1   0.3  11.3  336.
2020  18 17   2.2   1.0  13.7  339.
2020  18 18   2.6   1.3  14.1  338.
2020  18 19   2.9   2.4  12.9  332.
2020  18 20   2.6   2.2  12.3  328.
2020  18 21   2.9   0.9   9.5  328.
2020  18 22   3.8   1.8   6.3  322.
2020  18 23   3.9   2.9   6.2  320.
2020  19  0   3.7   3.0   6.2  320.
2020  19  1   3.5   2.1   6.9  321.
2020  19  2   4.0   2.8   7.2  325.
2020  19  3   3.7   0.8   8.0  327.
2020  19  4   3.4  -1.3   7.8  336.
2020  19  5   3.4  -1.4   7.1  333.
2020  19  6   3.1  -0.2   6.2  321.
2020  19  7   3.7  -1.7   4.7  336.
2020  19  8   3.4  -1.2   4.8  341.
2020  19  9   3.1   0.5   4.9  344.
2020  19 10   3.0  -0.9   4.7  345.
2020  19 11   2.4  -0.5   5.6  329.
2020  19 12   2.5  -1.2   6.0  328.
2020  19 13   2.9   0.1   5.5  328.
2020  19 14   2.5  -1.3   6.2  328.
2020  19 15   2.7  -1.9   6.0  328.
2020  19 16   2.4  -0.5   6.4  321.
2020  19 17   2.3  -0.8   7.0  320.
2020  19 18   1.5  -0.6   9.0  320.
2020  19 19   1.2   0.2   9.1  316.
2020  19 20   0.8   0.4   8.8  311.
2020  19 21   1.2   0.8   8.6  309.
2020  19 22   2.0   1.0   6.0  312.
2020  19 23   1.5   0.2   4.5  299.
2020  20  0   1.8  -0.6   4.6  303.
2020  20  1   2.3  -1.1   4.6  308.
2020  20  2   2.4  -1.8   4.2  309.
2020  20  3   2.1  -0.8   4.7  311.
2020  20  4   1.9  -1.1   5.3  313.
2020  20  5   1.5  -0.4   6.0  311.
2020  20  6   2.0  -0.0   5.7  304.
2020  20  7   3.1  -1.5   5.1  304.
2020  20  8   2.8   0.2   4.9  300.
2020  20  9   2.2  -0.9   5.5  303.
2020  20 10   2.4  -0.2   5.4  302.
2020  20 11   2.1   0.2   5.4  297.
2020  20 12   2.0  -0.3   5.7  301.
2020  20 13   2.4  -1.6   6.4  307.
2020  20 14   2.1  -0.6   6.3  306.
2020  20 15   2.2   0.2   5.9  302.
2020  20 16   2.1  -1.2   6.3  295.
2020  20 17   2.0  -1.0   6.2  295.
2020  20 18   1.9  -1.3   6.3  291.
2020  20 19   2.0  -1.3   6.3  289.
2020  20 20   2.0  -0.5   6.0  287.
2020  20 21   1.9  -0.3   5.9  284.
2020  20 22   1.9  -0.5   5.9  282.
2020  20 23   1.5  -0.7   6.4  280.
2020  21  0   1.4  -0.2   6.8  279.
2020  21  1   1.5  -0.8   7.4  281.
2020  21  2   1.5   0.6   7.9  280.
2020  21  3   1.6   1.1   7.6  283.
2020  21  4   1.6   1.0   7.6  285.
2020  21  5   1.5   0.2   8.1  285.
2020  21  6   2.2  -1.8   9.0  290.
2020  21  7   2.7  -2.4  11.8  296.
2020  21  8   3.2  -2.6  13.0  299.
2020  21  9   2.5  -0.2  16.0  301.
2020  21 10   2.4   1.2  21.7  307.
2020  21 11   4.4   2.7  22.2  313.
2020  21 12   6.7   3.1  20.3  316.
2020  21 13   6.6   0.0  24.0  314.
2020  21 14   8.9  -6.7  16.1  323.
2020  21 15   8.1  -3.7  16.4  327.
2020  21 16   6.8   4.1  15.9  338.
2020  21 17   6.7   1.0  13.9  333.
2020  21 18   7.7  -5.5  12.2  335.
2020  21 19   7.3  -2.4   9.1  339.
2020  21 20   7.2   1.8   8.7  336.
2020  21 21   7.2   2.1   9.2  336.
